Occupation (NOC),Low,Median,High,Province
Psychologists (31200),26.44,47.55,65.14,SK
Chiropractors (31201),N/A,"57,200",N/A,SK
Physiotherapists (31202),30,44,50,SK
Occupational therapists (31203),35,43.74,48,SK
Kinesiologists and other professional occupations in therapy and assessment (31204),N/A,32.62,N/A,SK
Nursing coordinators and supervisors (31300),32.5,46.25,55,SK
Registered nurses and registered psychiatric nurses (31301),36,46,50.16,SK
Nurse practitioners (31302),N/A,55.62,N/A,SK
"Physician assistants, midwives and allied health professionals (31303)",N/A,41.42,N/A,SK
Opticians (32100),17.5,27.5,32.69,SK
Licensed practical nurses (32101),30,37,38,SK
Paramedical occupations (32102),24.3,33.26,44,SK
"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists (32103)",32.8,38,43,SK
Animal health technologists and veterinary technicians (32104),16,18,23,SK
Other technical occupations in therapy and assessment (32109),16,24.87,46,SK
Denturists (32110),N/A,"69,000",N/A,SK
Dental hygienists and dental therapists (32111),38,46.5,80.77,SK
Medical laboratory technologists (32120),23,38.46,50,SK
Medical radiation technologists (32121),30,37,48.08,SK
Medical sonographers (32122),45,46,50,SK
Cardiology technologists and electrophysiological diagnostic technologists (32123),N/A,34.24,N/A,SK
Pharmacy technicians (32124),14,19.75,35,SK
Other medical technologists and technicians (32129),14,17,30,SK
Massage therapists (32201),"31,691","40,800","67,500",SK
Dental assistants and dental laboratory assistants (33100),20,28,33.5,SK
Medical laboratory assistants and related technical occupations (33101),22,26,38,SK
"Nurse aides, orderlies and patient service associates (33102)",17,23,24.86,SK
Pharmacy technical assistants and pharmacy assistants (33103),15,20,32,SK
Other assisting occupations in support of health services (33109),15,21,25,SK
Government managers - health and social policy development and program administration (40010),31.89,49.5,72.83,SK
"Government managers - economic analysis, policy development and program administration (40011)",38.29,57.15,69.23,SK
Government managers - education policy development and program administration (40012),N/A,50.3,N/A,SK
Other managers in public administration (40019),36.92,50,71.3,SK
Administrators - post-secondary education and vocational training (40020),36.32,61.06,86.54,SK
School principals and administrators of elementary and secondary education (40021),37.69,52.88,80.77,SK
"Managers in social, community and correctional services (40030)",20,37.09,55.38,SK
Commissioned police officers and related occupations in public protection services (40040),N/A,53.67,N/A,SK
Fire chiefs and senior firefighting officers (40041),N/A,60.98,N/A,SK
Commissioned officers of the Canadian Armed Forces (40042),24.11,45.32,60.72,SK
Judges (41100),"340,021","357,022","383,700",SK
Lawyers and Quebec notaries (41101),25,51.28,84,SK
University professors and lecturers (41200),21.63,55.29,85.19,SK
Post-secondary teaching and research assistants (41201),14.97,22.12,41.03,SK
College and other vocational instructors (41210),20.6,41.54,55.77,SK
Secondary school teachers (41220),30.77,43.27,56.04,SK
Elementary school and kindergarten teachers (41221),26.44,40.87,51.35,SK
Social workers (41300),30,38,47,SK
Therapists in counselling and related specialized therapies (41301),19.11,32,48.21,SK
Religious leaders (41302),15.38,28.75,43.27,SK
Police investigators and other investigative occupations (41310),40.77,54,62.5,SK
Probation and parole officers (41311),28.21,38,45.64,SK
Educational counsellors (41320),30.6,42.79,59.38,SK
Career development practitioners and career counsellors (except education) (41321),22.67,27.3,32,SK
"Natural and applied science policy researchers, consultants and program officers (41400)",25.72,40.38,54,SK
Economists and economic policy researchers and analysts (41401),32.66,47.29,80.93,SK
Business development officers and market researchers and analysts (41402),28.21,41.21,61.03,SK
"Social policy researchers, consultants and program officers (41403)",22,40,50,SK
"Health policy researchers, consultants and program officers (41404)",28.85,43,50,SK
"Education policy researchers, consultants and program officers (41405)",35,47.63,60.44,SK
"Recreation, sports and fitness policy researchers, consultants and program officers (41406)",14.3,27.25,39.41,SK
Program officers unique to government (41407),20.51,39.68,62.5,SK
Other professional occupations in social science (41409),N/A,38.94,N/A,SK
Police officers (except commissioned) (42100),31.25,50,60.1,SK
Firefighters (42101),36.26,49.45,62.5,SK
Paralegals and related occupations (42200),25,28.72,54.36,SK
Social and community service workers (42201),16.5,21.36,34.62,SK
Early childhood educators and assistants (42202),14,16,22.11,SK
Religion workers (42204),14,20,32.29,SK
Elementary and secondary school teacher assistants (43100),18,22,25.52,SK
Other instructors (43109),14,28.71,43,SK
Sheriffs and bailiffs (43200),25,27.5,37,SK
Correctional service officers (43201),29,35,50,SK
By-law enforcement and other regulatory officers (43202),21.56,34.05,47.53,SK
"Border services, customs, and immigration officers (43203)",28.15,32.82,38,SK
Operations Members of the Canadian Armed Forces (43204),21.98,31.98,60.95,SK
Home child care providers (44100),14,16,22.5,SK
"Home support workers, caregivers and related occupations (44101)",14,20,24.5,SK
Primary combat members of the Canadian Armed Forces (44200),N/A,20.81,N/A,SK
"Student monitors, crossing guards and related occupations (45100)",15.87,20,23.08,SK
"Library, archive, museum and art gallery managers (50010)",N/A,40.75,N/A,SK
Librarians (51100),16,33.25,47.54,SK
Editors (51110),N/A,22.29,N/A,SK
Authors and writers (except technical) (51111),19.23,27,57.69,SK
Technical writers (51112),N/A,29.27,N/A,SK
Journalists (51113),17.31,27.5,42.13,SK
"Producers, directors, choreographers and related occupations (51120)",14,29.21,43.51,SK
Musicians and singers (51122),N/A,"31,691",N/A,SK
Library and public archive technicians (52100),14.35,22,29,SK
Graphic arts technicians (52111),N/A,27.69,N/A,SK
Audio and video recording technicians (52113),N/A,26.32,N/A,SK
Announcers and other broadcasters (52114),19.23,20,39.9,SK
Graphic designers and illustrators (52120),14,23,48.46,SK
Interior designers and interior decorators (52121),17,20,31.73,SK
"Registrars, restorers, interpreters and other occupations related to museum and art galleries (53100)",17,19.45,31.51,SK
"Theatre, fashion, exhibit and other creative designers (53123)",N/A,24.26,N/A,SK
Coaches (53201),N/A,25.29,N/A,SK
"Program leaders and instructors in recreation, sport and fitness (54100)",14,20,25,SK
Corporate sales managers (60010),31.25,55.13,79.93,SK
Retail and wholesale trade managers (60020),22.23,40.38,62.5,SK
Restaurant and food service managers (60030),14.42,22.22,38.95,SK
Accommodation service managers (60031),20,33.65,54,SK
Managers in customer and personal services (60040),14,17.76,37.61,SK
Retail sales supervisors (62010),14,21.5,34.62,SK
Food service supervisors (62020),14,15.25,28.75,SK
Executive housekeepers (62021),14,16,21.99,SK
"Accommodation, travel, tourism and related services supervisors (62022)",14,21.63,43.59,SK
Customer and information services supervisors (62023),16,25.64,38.97,SK
Cleaning supervisors (62024),16.1,25,44,SK
Other services supervisors (62029),15.95,22.16,40.38,SK
Technical sales specialists - wholesale trade (62100),21,35,56.82,SK
Retail and wholesale buyers (62101),14,21.15,39.81,SK
Chefs (62200),14,19.56,30,SK
Funeral directors and embalmers (62201),15,24,42.5,SK
Insurance agents and brokers (63100),19.74,26,46.15,SK
Real estate agents and salespersons (63101),"31,691","60,400","164,000",SK
Financial sales representatives (63102),18,30.99,54.87,SK
Cooks (63200),14,15,22.5,SK
Butchers - retail and wholesale (63201),14,15,19,SK
Bakers (63202),14,17,24.92,SK
Hairstylists and barbers (63210),14,20,31.19,SK
"Estheticians, electrologists and related occupations (63211)",14,15,24.23,SK
Retail salespersons and visual merchandisers (64100),14,15,28.85,SK
Sales and account representatives - wholesale trade (non-technical) (64101),18.75,30.29,53.85,SK
"Tailors, dressmakers, furriers and milliners (64200)",N/A,17.66,N/A,SK
Maîtres d'hôtel and hosts/hostesses (64300),14,14,21,SK
Bartenders (64301),14,15,22,SK
Travel counsellors (64310),17,23.08,35,SK
Airline ticket and service agents (64312),15,18.29,23.97,SK
Hotel front desk clerks (64314),14,14.5,19,SK
Casino workers (64321),16,20.11,21.16,SK
Outdoor sport and recreational guides (64322),14.61,17.75,25,SK
Customer services representatives - financial institutions (64400),15.93,20.27,29.11,SK
Postal services representatives (64401),14,22.42,30,SK
Other customer and information services representatives (64409),14,21.63,31.32,SK
Security guards and related security service occupations (64410),14,18.4,26,SK
Cashiers (65100),14,14,19.23,SK
Service station attendants (65101),14,14,18.25,SK
"Store shelf stockers, clerks and order fillers (65102)",14,14,20.19,SK
Other sales related occupations (65109),14,14,47.6,SK
Food and beverage servers (65200),14,14,21.38,SK
"Food counter attendants, kitchen helpers and related support occupations (65201)",14,14,20.1,SK
"Operators and attendants in amusement, recreation and sport (65211)",14,14,23,SK
Pet groomers and animal care workers (65220),14,15.18,20.51,SK
Light duty cleaners (65310),14,16,22,SK
Specialized cleaners (65311),14,16,21.04,SK
"Janitors, caretakers and heavy-duty cleaners (65312)",14,21.89,29.68,SK
"Dry cleaning, laundry and related occupations (65320)",14,16.67,21.49,SK
Other service support occupations (65329),14,14,25,SK
Construction managers (70010),29,48.08,72.12,SK
Home building and renovation managers (70011),"31,691","41,600","84,000",SK
Facility operation and maintenance managers (70012),28.85,47.9,76.31,SK
Managers in transportation (70020),28.75,38.46,72.12,SK
Postal and courier services managers (70021),N/A,31.9,N/A,SK
"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations (72010)",28.5,34,50.48,SK
"Contractors and supervisors, electrical trades and telecommunications occupations (72011)",28.85,38,50,SK
"Contractors and supervisors, pipefitting trades (72012)",22.87,45.36,52.6,SK
"Contractors and supervisors, carpentry trades (72013)",20,34,43.27,SK
"Contractors and supervisors, other construction trades, installers, repairers and servicers (72014)",24,35,58,SK
"Contractors and supervisors, mechanic trades (72020)",20.6,40.63,57.69,SK
"Contractors and supervisors, heavy equipment operator crews (72021)",24.04,35,48,SK
"Supervisors, railway transport operations (72023)",N/A,39.69,N/A,SK
"Supervisors, motor transport and other ground transit operators (72024)",22.5,32,50.48,SK
"Supervisors, mail and message distribution occupations (72025)",20,30,38.46,SK
Machinists and machining and tooling inspectors (72100),20,30,40,SK
Sheet metal workers (72102),14,32.14,45.85,SK
Boilermakers (72103),34.91,45.26,48.42,SK
Structural metal and platework fabricators and fitters (72104),18.5,26.59,35.5,SK
Ironworkers (72105),26,40.7,48.46,SK
Welders and related machine operators (72106),20,30,39,SK
Electricians (except industrial and power system) (72200),18,32,44,SK
Industrial electricians (72201),35,42,57.5,SK
Power system electricians (72202),N/A,54.74,N/A,SK
Electrical power line and cable workers (72203),20,43,54,SK
Telecommunications line and cable installers and repairers (72204),16.83,38.66,57.5,SK
Telecommunications equipment installation and cable television service technicians (72205),25,38.9,40.49,SK
Plumbers (72300),17,32,40,SK
"Steamfitters, pipefitters and sprinkler system installers (72301)",34,42.8,48.41,SK
Gas fitters (72302),N/A,43.26,N/A,SK
Carpenters (72310),18,27,37.5,SK
Cabinetmakers (72311),14,22.92,29.07,SK
Bricklayers (72320),25,36.07,42.44,SK
Insulators (72321),22.33,37.03,42,SK
Construction millwrights and industrial mechanics (72400),20,40,55,SK
Heavy-duty equipment mechanics (72401),22.45,35,52,SK
"Heating, refrigeration and air conditioning mechanics (72402)",21.91,36.92,44,SK
Railway carmen/women (72403),N/A,39.12,N/A,SK
Aircraft mechanics and aircraft inspectors (72404),14,35,41.03,SK
Elevator constructors and mechanics (72406),N/A,47.02,N/A,SK
"Automotive service technicians, truck and bus mechanics and mechanical repairers (72410)",18,30,42.31,SK
"Auto body collision, refinishing and glass technicians and damage repair estimators (72411)",16,22,36,SK
Appliance servicers and repairers (72421),N/A,25.02,N/A,SK
Electrical mechanics (72422),N/A,38.46,N/A,SK
"Motorcycle, all-terrain vehicle and other related mechanics (72423)",N/A,27.2,N/A,SK
Other small engine and small equipment repairers (72429),N/A,26.21,N/A,SK
Crane operators (72500),31.21,42,51.72,SK
"Air pilots, flight engineers and flying instructors (72600)",24.04,41.21,92.31,SK
Air traffic controllers and related occupations (72601),N/A,56.41,N/A,SK
Concrete finishers (73100),20,26,35,SK
"Plasterers, drywall installers and finishers and lathers (73102)",18,26,32,SK
Roofers and shinglers (73110),18,24.5,32,SK
Glaziers (73111),18,25,34,SK
Painters and decorators (except interior decorators) (73112),15,21,28,SK
Residential and commercial installers and servicers (73200),16,20,31.25,SK
General building maintenance workers and building superintendents (73201),15,20.24,32.72,SK
